MANNER,MOD
MED.LOC.FOC,MED.LOC.FOC
MIR,MIR
MOD,MOD
MOD.ADN,MOD.ADN
MOD.MANNER,MOD
N.NTVZ,N.NTVZ
NAG,NAG
NAG.F,NAG.F
NAG.M,NAG.F
NAME.NTVZ,NAME.NTVZ
NEG,NEG
NEG.IMP,IMP.NEG
NICKNAMER,NICKNAMER
NMLZ,NMLZ
NOM,NOM
NPST,NPST
NPST.PTCP,NPST.PTCP
ns.REFL,NSG.REFL
NTVZ,NTVZ
OBL,OBL
OPT,OPT
OR,or
p,PL
PACL,PTCL
PASS,PASS
PASS.PTCP,PASS.PTCP
PFV,PFV
PL,PL
PRF,PRF
PROB,PROB
PROG,PROG
PROX,PROX
PROX.LOC,PROX.LOC
PST,PST
PST.2HH,PST.2HHON
PST.3sF,PST.3SG.F
PST.HAB,PST.HAB
PST.NEG,PST.NEG
PST.PTCP,PST.PTCP
PTC,PTCL
PTCL,PTCL
PURP,PURP
Q,Q
RECNF,RECNF
RECP,RECP
REF,REF
REFL,REFL
REFL.GEN,REFL.GEN
REP,REP
RESTR,only
RLZ,I.see
SELF,???
SEQ,SEQ
SIM,SIM
SPEC.TOP,SPEC.TOP
SURP,SURP
TEASE,TEASER
TEL,TEL
TOP,TOP
V.NTVZ,V.NTVZ
VOC,VOC
WATER,water
