?,???
??,???
???,???
1,1
1ABS,1SG.ABS
1ABS),1SG.ABS
*1ABS.PL,1PL.ABS
1ABS:PL,1PL.ABS
1ABS.PL,1PL.ABS
1ABS:PL:2ABS:PL,1/2PL.ABS
1ABS:SG,1SG.ABS
1ABS.SG,1SG.ABS
1ADJ.POSS,1SG.POSS
1ASB,1SG.ABS
1ERG1in,1SG.ERG
*1ERG,1SG.ERG
1ERG,1SG.ERG
1ERGin,1SG.ERG
1ERG:PL,1PL.ERG
1ERG.PL,1PL.ERG
1ERG:SG,1SG.ERG
1PL,1PL
1POPS,1SG.POSS
1POS,1SG.POSS
1POS.PL,1PL.POSS
1POSS,1SG.POSS
1POSS:PL,1PL.POSS
1POSS:SG,1SG.POSS
1PRO,1SG
1PRON,1SG
1PRON:PL,1PL
1PRON.PL,1PL
1PRON:SG,1SG
1PRON.SG,1SG
1PRON.TOP,1SG.TOP
1PRO:PL,1PL
1PRO:SG,1SG
1REFL,1SG.REFL
1REFL:PL,1PL.REFL
1REFL:SG,1SG.REFL
1S:ERG,1SG.ERG
1SG:ERG,1SG.ERG
2,2
2ABS:2ABS:SG,2SG.ABS
2ABS.2ABS.SG,2SG.ABS
2ABS,2SG.ABS
2:ABS:PL,2PL.ABS
2ABS:PL,2PL.ABS
2ABS.PL,2PL.ABS
2:ABS:SG,2SG.ABS
2ABS:SG,2SG.ABS
2ABS.SG,2SG.ABS
2EG:SG,2SG.ERG
2ERG,2SG.ERG
2ERG:PL,2PL.ERG
2ERG.PL,2PL.ERG
2ERG:SG,2SG.ERG
2ERGS:SG,2SG.ERG
2PL,2PL
2PL:ABS,2PL.ABS
2PL:PRON,2PL
2POP,2SG.POSS
2POS,2SG.POSS
2POS.PL,2PL.POSS
2POSS,2SG.POSS
2POSS:SG,2SG.POSS
2:PRO,2SG
2PRON,2SG
2PRON:PL,2PL
2PRON.PL,2PL
2:PRON:SG,2SG
2PRON:SG,2SG
2PRON.SG,2SG
2PRO:PL,2PL
2PRO:SG,2SG
2PSO,2SG.POSS
2REFL,2SG.REFL
2REFL:SG,2SG.REFL
2RON:SG,2SG
2S:ABS,2SG.ABS
2S:ERG,2SG.ERG
2SG,2SG
2SG:ABS,2SG.ABS
2SG:ERG,2SG.ERG
2SG:PRON,2SG
2S:PRON,2SG
3,3
(3ABS),3SG.ABS
3ABS,3SG.ABS
3ABS:PL,3PL.ABS
3ABS.PL,3PL.ABS
3ABS:PL:DIST,3PL.DIST.ABS
3ABS:PL:PROX,3PL.PROX.ABS
*3ABS:SG,3SG.ABS
*3ABS.SG,3SG.ABS
3ABS:SG,3SG.ABS
3ABS.SG,3SG.ABS
3ABS:SG:COMP,COMPL.3SG.ABS
3eRG,3SG.ERG
:3ERG,3SG.ERG
3ERG,3SG.ERG
3ERG:PL,3PL.ERG
3ERG.PL,3PL.ERG
3ERG:SG,3SG.ERG
3OS,3SG.POSS
3PL,3PL
3POs,3SG.POSS
3POS,3SG.POSS
3POSS,3SG.POSS
3POSS:SG,3SG.POSS
3PRON,3SG
3PRON.PL,3PL
3PRON:SG,3SG
3PRON.SG,3SG
3PRO:PL,3PL
3PRO:SG,3SG
3REFL,3SG.REFL
