sr9,NC.IX.SBJ.REL
sr9/cp,NC.IX.SBJ.REL/COP
stick(9 = 10)/dim,stick(NC.IX=X).DIM
teacher(9 = 10|6/2a),teacher(NC.IX=X/VI/IIa)
teeth(6irg),teeth(NC.VI.IRR)
tell/ap,tell.APPL
tire/c,tire.CAUS
t^.om2s,PRS.2SG.OBJ
t^ba,COP
t^batla,almost
t^batla/pf,almost.PRF
t^be,AUX
t^f,FUT
t^f1,FUT1
t^f2,FUT2
t^f3,FUT3
t^f4,FUT4
t^f4.buy,buy.FUT4
t^f5,FUT5
t^hla,do.indeed
t^hle,HAB
t^hloha,PERSIST
t^ke,EMPH
t^mpa,do.however
t^mpe,do.however
t^ne,PST.CONT
t^ng,NEG
t^nna,PROG
t^nne,HAB
t^np.om1s,REM.PST.1SG.OBJ
t^ntsane,still
t^ntse,PST.CONT
t^ny,TEMP.FOC
t^p,PRS
t^p.om1,PRS.NC.I.OBJ
t^p.om10,PRS.NC.X.OBJ
t^p.om14,PRS.NC.XIV.OBJ
t^p.om17,PRS.NC.XVII.OBJ
t^p.om1p,PRS.1PL.OBJ
t^p.om1s,PRS.1SG.OBJ
t^p.om2,PRS.NC.II.OBJ
t^p.om2s,PRS.2SG
t^p.om3,PRS.NC.III.OBJ
t^p.om5,PRS.NC.V.OBJ
t^p.om6,PRS.NC.VI.OBJ
t^p.om7,PRS.NC.VII.OBJ
t^p.om8,PRS.NC.VIII.OBJ
t^p.om9,PRS.NC.IX.OBJ
t^p.rf,PRS.REFL
t^pf,PRF
t^pf/m^in,IND.PRF
t^pf/m^pt,DEP.PRF
t^pf/m^x,NEG.PRF
t^po,POT
t^po/ng,NEG.POT
t^pp,PST.CONT
t^ppf,PRF
t^pr/m^in,IND.PRS
t^ps,PST
t^p_burn/c,burn.PRS.CAUS
t^p_drink/p,drink.PRS.PASS
t^p_go/ap,go.PRS.APPL
t^p_go/c,go.PRS.CAUS
t^p_go/p,go.PRS.PASS
t^p_know/p,know.PRS.PASS
t^p_load/rv,load.PRS.REVERS
t^p_put_on/c,put_on.PRS.CAUS
t^p_say/m^pt,say.POT.PRS
t^p_sleep/c,sleep.PRS.CAUS
t^p_stab/p,stab.PRS.PASS
t^p_turn_over/nt,turn_over.PRS.CHOS
t^sa,PERSIST
t^se,still
t^tloha,do.afterwards
t^ts,RECENT.PST
water(6irg),water(NC.VI.IRR)
wh,WH.Q
1,NC.I
1/cp,NC.I.COP
10,NC.X
10/cp,NC.X.COP
10cp,NC.X.COP
14,NC.XIV
17,NC.XVII
1a,NC.Ia
2,NC.II
2/cp,NC.II.COP
2a,NC.IIa
3,NC.III
3/cp,NC.III.COP
4,NC.IV
5,NC.V
6/cp,NC.VI.COP
7,NC.VII
8,NC.VIII
8/cp,NC.VIII.COP
9,NC.IX
9/cp,NC.IX.COP
???,???
aj,ADJ
amuse/t^pf,amuse.PRF
ap/pf,APPL.PRF
ascend/c,ascend.CAUS
beat/t^pf,beat.PRF
become_accustomed/t^pf,become_accustomed.PRF
become_fat/t^pf,become_fat.PRF
become_finished/t^pf,become_finished.PRF
become_silent/t^pf,become_silent.PRF
become_warm/t^pf,become_warm.PRF
be_about_to_cry/t^pf,be_about_to_cry.PRF
be_cold/t^pf,be_cold.PRF
be_satisfied/t^pf,be_satisfied.PRF
be_six/t^pf,be_six.PRF
be_thirsty/t^pf,be_thirsty.PRF
bite/t^pf,bite.PRF
blow/t^pf,blow.PRF
blow_about/t^pf,blow_about.PRF
break_off_piece/t^pf,break_off_piece.PRF
bring_down/t^pf,bring_down.PRF
button/rv,button.REVERS
button/t^pf,button.PRF
"candy(9,10)/lc","candy(NC.IX,X).LOC"
cause_to_fall/t^pf,cause_to_fall.PRF
cd,COND
choke/c,choke.CAUS
choke/t^pf,choke.PRF
chrash/t^pf,chrash.PRF
cl/t^pf,cl.PRF
climb/m^i,climb.IMP
cling_to/t^pf,cling_to.PRF
close/t^pf,close.PRF
cm,COMP
collide_with/t^pf,collide_with.PRF
comb/p,comb.PASS
come/m^I,come.IMP
come_for/t^pf,come_for.PRF
contract/t^pf,contract.PRF
copy/c,copy.CAUS
correct/nt,correct.CHOS
cover/rv,REVERS
cover/t^pf,cover.PRF
cover_up/ap,cover_up.APPL
crush/c,crush.CAUS
crush/t^pf,crush.PRF
cut/t^pf,cut.PRF
cut_off/nt,cut_off.CHOS
cut_off/t^pf,cut_off.PRF
dance/c,dance.CAUS
defecate/t^pf,defecate.PRF
descend/c,descend.CAUS
diminish/t^pf,diminish.PRF
disappear/c,disappear.CAUS
disappear/t^pf,disappear.PRF
disgust/c,disgust.CAUS
dish_out/t^pf,dish_out.PRF
do/t^pf,do.PRF
"donkey(9,10)/dim","donkey(NC.IX,X).DIM"
drink/p,drink.PASS
drive/p,drive.PASS
eat/t^pf,eat.PRF
elope/t^pf,elope.PRF
enter/t^pf,enter.PRF
extinguish/t^pf,extinguish.PRF
fall/t^pf,fall.PRF
fear/nt,fear.CHOS
ferment/c,ferment.CAUS
fill.belly/t^pf,fill.belly.PRF
fill_belly/t^pf,fill_belly.PRF
fill_mouth/t^pf,fill_mouth.PRF
find/t^pf,find.PRF
fold/t^pf,fold.PRF
